baseline_model_id,candidate_model_id,split,row_index,grna_target_id,baseline_genome,candidate_genome,label,baseline_score,candidate_score,score_delta_candidate_minus_baseline,baseline_pred,candidate_pred,baseline_confusion,candidate_confusion,transition
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,0,228,,,1,0.9381759166717528,0.6406722664833069,-0.29750365018844593,1,1,TP,TP,TP_to_TP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,1,228,,,1,0.8379049897193909,0.3740102350711822,-0.4638947546482087,1,1,TP,TP,TP_to_TP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,2,228,,,0,0.6818989515304565,0.2097060531377792,-0.4721928983926773,1,1,FP,FP,FP_to_FP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,3,228,,,0,0.4249245822429657,0.1698835492134094,-0.2550410330295563,1,1,FP,FP,FP_to_FP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,4,228,,,1,0.8486093878746033,0.3153713941574096,-0.5332379937171936,1,1,TP,TP,TP_to_TP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,5,228,,,0,0.3934839367866516,0.2030281275510788,-0.19045580923557281,1,1,FP,FP,FP_to_FP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,6,228,,,0,0.4801844954490661,0.2332106679677963,-0.2469738274812698,1,1,FP,FP,FP_to_FP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,7,228,,,1,0.6097904443740845,0.4282597601413727,-0.1815306842327118,1,1,TP,TP,TP_to_TP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,8,228,,,0,0.6278852820396423,0.231244221329689,-0.3966410607099533,1,1,FP,FP,FP_to_FP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,9,228,,,0,0.5947180986404419,0.186999887228012,-0.4077182114124299,1,1,FP,FP,FP_to_FP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,10,228,,,1,0.6382045745849609,0.1968291699886322,-0.44137540459632874,1,1,TP,TP,TP_to_TP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,11,228,,,0,0.7395215630531311,0.262441873550415,-0.4770796895027161,1,1,FP,FP,FP_to_FP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,12,278,,,1,0.9740340113639832,0.991402804851532,0.017368793487548828,1,1,TP,TP,TP_to_TP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,13,278,,,1,0.8510730862617493,0.957460343837738,0.10638725757598877,1,1,TP,TP,TP_to_TP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,14,278,,,1,0.3585133850574493,0.6273407340049744,0.2688273489475251,1,1,TP,TP,TP_to_TP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,15,278,,,1,0.882030725479126,0.953396499156952,0.07136577367782604,1,1,TP,TP,TP_to_TP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,16,278,,,1,0.8735930323600769,0.5284687280654907,-0.3451243042945862,1,1,TP,TP,TP_to_TP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,17,278,,,1,0.5598810911178589,0.5404135584831238,-0.019467532634735107,1,1,TP,TP,TP_to_TP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,18,278,,,1,0.5810945630073547,0.5897676348686218,0.00867307186126709,1,1,TP,TP,TP_to_TP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,19,278,,,1,0.5193608999252319,0.8050522804260254,0.28569138050079346,1,1,TP,TP,TP_to_TP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,20,278,,,1,0.455229252576828,0.79043048620224,0.335201233625412,1,1,TP,TP,TP_to_TP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,21,278,,,1,0.7860934138298035,0.9246866106987,0.13859319686889648,1,1,TP,TP,TP_to_TP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,22,278,,,1,0.4374001026153564,0.5870453119277954,0.14964520931243902,1,1,TP,TP,TP_to_TP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,23,278,,,1,0.3616659045219421,0.5958901047706604,0.23422420024871832,1,1,TP,TP,TP_to_TP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,24,278,,,1,0.7268381714820862,0.8811537027359009,0.1543155312538147,1,1,TP,TP,TP_to_TP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,25,278,,,1,0.3920073807239532,0.6276148557662964,0.2356074750423432,1,1,TP,TP,TP_to_TP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,26,635,,,1,0.9944814443588256,0.9970446228981018,0.002563178539276234,1,1,TP,TP,TP_to_TP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,27,635,,,1,0.8806636333465576,0.9816685318946838,0.10100489854812622,1,1,TP,TP,TP_to_TP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,28,635,,,1,0.9476698637008668,0.9924240112304688,0.04475414752960194,1,1,TP,TP,TP_to_TP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,29,804,,,1,0.9910105466842652,0.9987860321998596,0.007775485515594371,1,1,TP,TP,TP_to_TP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,30,804,,,1,0.9993889331817628,0.998939335346222,-0.0004495978355407715,1,1,TP,TP,TP_to_TP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,31,804,,,1,0.9992936849594116,0.9991199374198914,-0.00017374753952026367,1,1,TP,TP,TP_to_TP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,32,804,,,1,0.9993409514427184,0.9989277720451356,-0.00041317939758278577,1,1,TP,TP,TP_to_TP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,33,1018,,,1,0.9854462146759032,0.9899798631668092,0.004533648490905984,1,1,TP,TP,TP_to_TP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,34,1018,,,1,0.9942723512649536,0.9819807410240172,-0.01229161024093639,1,1,TP,TP,TP_to_TP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,35,1018,,,1,0.9980196952819824,0.9889487028121948,-0.009070992469787598,1,1,TP,TP,TP_to_TP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,36,1018,,,1,0.981475830078125,0.9465952515602112,-0.03488057851791382,1,1,TP,TP,TP_to_TP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,37,1026,,,1,0.9944429993629456,0.9721966981887816,-0.02224630117416393,1,1,TP,TP,TP_to_TP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,38,1026,,,1,0.9183889627456664,0.9185282588005066,0.0001392960548401989,1,1,TP,TP,TP_to_TP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,39,1028,,,0,0.0868918821215629,0.0331292375922203,-0.0537626445293426,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,40,1028,,,0,0.0616502612829208,0.0402753129601478,-0.021374948322773,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,41,1028,,,0,0.0984477996826171,0.0353815630078315,-0.06306623667478561,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,42,1028,,,0,0.0888589695096015,0.0389574281871318,-0.0499015413224697,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,43,1028,,,0,0.1532483845949173,0.0369952656328678,-0.1162531189620495,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,44,1028,,,0,0.059574905782938,0.0308527611196041,-0.028722144663333896,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,45,1028,,,1,0.0885433927178382,0.0355060286819934,-0.0530373640358448,1,0,TP,FN,TP_to_FN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,46,1028,,,0,0.0864027291536331,0.0363536328077316,-0.0500490963459015,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,47,1028,,,0,0.1397858411073684,0.0370803363621234,-0.10270550474524501,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,48,1028,,,0,0.1080258786678314,0.039251547306776,-0.0687743313610554,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,49,1028,,,0,0.0758220329880714,0.0349384620785713,-0.0408835709095001,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,50,1028,,,0,0.1159682646393776,0.0340033881366252,-0.08196487650275239,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,51,1028,,,0,0.0890515446662902,0.029659766703844,-0.0593917779624462,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,52,1028,,,0,0.0932406783103942,0.0382877103984355,-0.0549529679119587,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,53,1028,,,0,0.0712554231286048,0.0419236943125724,-0.029331728816032403,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,54,1044,,,0,0.1031311526894569,0.0680886656045913,-0.0350424870848656,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,55,1044,,,0,0.045185636729002,0.0374198406934738,-0.007765796035528197,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,56,1044,,,0,0.089790254831314,0.0622736774384975,-0.027516577392816502,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,57,1044,,,0,0.0792149528861045,0.0382747128605842,-0.040940240025520304,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,58,1044,,,1,0.0574870258569717,0.0464443564414978,-0.011042669415473896,1,0,TP,FN,TP_to_FN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,59,1044,,,0,0.0515701249241828,0.0394435413181781,-0.012126583606004701,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,60,1044,,,0,0.0608555674552917,0.0398002229630947,-0.021055344492197002,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,61,1044,,,0,0.0655262023210525,0.0462133027613163,-0.019312899559736196,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,62,1044,,,0,0.07492146641016,0.0460998862981796,-0.028821580111980397,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,63,1044,,,0,0.0913273468613624,0.0393212586641311,-0.0520060881972313,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,64,1044,,,0,0.0288075041025877,0.0334198996424675,0.004612395539879799,0,0,TN,TN,TN_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,65,1044,,,0,0.0783621817827224,0.037382286041975,-0.0409798957407474,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,66,1044,,,0,0.0656865686178207,0.0407041683793067,-0.024982400238513995,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,67,1060,,,1,0.3642198443412781,0.054061010479927,-0.31015883386135107,1,0,TP,FN,TP_to_FN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,68,1060,,,0,0.42763152718544,0.0339806899428367,-0.3936508372426033,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,69,1060,,,0,0.4880039393901825,0.0705519169569015,-0.417452022433281,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,70,1060,,,0,0.1899401396512985,0.035619743168354,-0.1543203964829445,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,71,1060,,,0,0.3023575246334076,0.0491899251937866,-0.25316759943962097,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,72,1060,,,0,0.3635852932929992,0.0297353602945804,-0.3338499329984188,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,73,1060,,,1,0.4273287951946258,0.0441514551639556,-0.3831773400306702,1,0,TP,FN,TP_to_FN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,74,1060,,,0,0.5001525282859802,0.0628960877656936,-0.4372564405202866,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,75,1060,,,0,0.3936721086502075,0.0350646860897541,-0.3586074225604534,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,76,1060,,,0,0.4347476959228515,0.058181632310152,-0.3765660636126995,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,77,1060,,,0,0.2022180408239364,0.0346018783748149,-0.1676161624491215,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,78,1060,,,0,0.2421312183141708,0.0358876660466194,-0.20624355226755142,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,79,1060,,,0,0.3731986284255981,0.0559036061167717,-0.3172950223088264,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,80,1060,,,0,0.4362704455852508,0.0545893833041191,-0.3816810622811317,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,81,1060,,,0,0.286510020494461,0.0323120430111885,-0.2541979774832725,1,0,FP,TN,FP_to_TN
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,82,1088,,,1,0.0620688647031784,0.5697522163391113,0.5076833516359329,1,1,TP,TP,TP_to_TP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,83,1088,,,0,0.0204311590641737,0.1986608356237411,0.1782296765595674,0,1,TN,FP,TN_to_FP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,84,1088,,,0,0.0334225744009017,0.2891712188720703,0.25574864447116863,1,1,FP,FP,FP_to_FP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,85,1088,,,0,0.0621830448508262,0.4666924476623535,0.4045094028115273,1,1,FP,FP,FP_to_FP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,86,1088,,,0,0.0400264412164688,0.3915720880031585,0.3515456467866897,1,1,FP,FP,FP_to_FP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,87,1088,,,0,0.0338064022362232,0.3385216891765594,0.30471528694033617,1,1,FP,FP,FP_to_FP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,88,1088,,,0,0.1135881468653678,0.2930106818675995,0.17942253500223168,1,1,FP,FP,FP_to_FP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,89,1088,,,0,0.0279925353825092,0.3375504910945892,0.30955795571208,0,1,TN,FP,TN_to_FP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,90,1088,,,0,0.0699766501784324,0.5541120171546936,0.4841353669762612,1,1,FP,FP,FP_to_FP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,91,1088,,,0,0.0330625846982002,0.1993606835603714,0.1662980988621712,1,1,FP,FP,FP_to_FP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,92,1088,,,0,0.0480712763965129,0.2317091971635818,0.1836379207670689,1,1,FP,FP,FP_to_FP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,93,1088,,,0,0.0193074941635131,0.2392647266387939,0.2199572324752808,0,1,TN,FP,TN_to_FP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,94,1088,,,0,0.0236633047461509,0.3152641952037811,0.29160089045763016,0,1,TN,FP,TN_to_FP
graph_c_gcn_s5b,graph_c_gatv2_s7b,test,95,1120,,,1,0.0519444867968559,0.0356057472527027,-0.0163387395441532,1,0,TP,FN,TP_to_FN
