split,label,target_context_family,rows,feature_columns,feature_abs_mean,feature_mean,feature_std,feature_min,feature_max,nonzero_fraction
test,0,target_sequence_one_hot,169,115,0.2,0.2,0.4,0.0,1.0,0.2
test,0,experimental_epigenetic,169,6,0.29106669942274677,-0.15935642653131182,0.5637287472040523,-0.4757739097267971,5.87334556145121,1.0
test,0,computed_nucleosome_aggregates,169,78,0.6758290217101753,0.08734177797210499,0.8864368855509165,-4.1625390003980565,9.733412881337653,0.9743589743589743
test,0,computed_nucleosome_missingness,169,13,0.2974274809097609,-0.2974274809097609,5.551115123125783e-17,-0.29742748090976084,-0.29742748090976084,1.0
test,1,target_sequence_one_hot,1533,115,0.2,0.2,0.4000000000000001,0.0,1.0,0.2
test,1,experimental_epigenetic,1533,6,0.46038534987415514,0.14257425794387327,1.1591218263929668,-0.4757739097267971,23.694244249109452,1.0
test,1,computed_nucleosome_aggregates,1533,78,0.7117391699078429,0.020340759669719086,0.9683531553118826,-10.288489808754461,25.915097469433327,0.9743589743589743
test,1,computed_nucleosome_missingness,1533,13,0.3833920437365175,-0.19477748862557467,0.6042516256389746,-0.29742748090976084,3.362164104477619,1.0
train,0,target_sequence_one_hot,901,115,0.2,0.2,0.40000000000000013,0.0,1.0,0.2
train,0,experimental_epigenetic,901,6,0.32808213670388797,-0.10891245070030792,0.7688907795178832,-0.4757739097267971,20.462871798903976,1.0
train,0,computed_nucleosome_aggregates,901,78,0.7053513252907363,0.03201524530559258,0.9520106790899886,-4.581245168998724,12.178128752286067,0.9743589743589743
train,0,computed_nucleosome_missingness,901,13,0.4096764360459864,-0.16339138510755935,0.6874239546000827,-0.29742748090976084,3.362164104477619,1.0
train,1,target_sequence_one_hot,7109,115,0.2,0.2,0.4,0.0,1.0,0.2
train,1,experimental_epigenetic,7109,6,0.36727990944476874,0.013803645812488014,1.0247529325748725,-0.4757739097267971,26.750223556548516,1.0
train,1,computed_nucleosome_aggregates,7109,78,0.6916819014888947,-0.004057636238618507,0.9913805350446979,-17.43110503876009,89.36175992837268,0.9743589743589743
train,1,computed_nucleosome_missingness,7109,13,0.5638513426856697,0.0207083468816867,1.0310367566053502,-0.29742748090976084,3.362164104477619,1.0
val,0,target_sequence_one_hot,223,115,0.2,0.2,0.4000000000000001,0.0,1.0,0.2
val,0,experimental_epigenetic,223,6,0.30400153150441345,-0.14328181101650253,0.6627879806048035,-0.4757739097267971,8.414347711914104,1.0
val,0,computed_nucleosome_aggregates,223,78,0.7115525436601817,0.0526022747691615,1.0115575160325392,-5.19103941490029,44.95459966796959,0.9743589743589743
val,0,computed_nucleosome_missingness,223,13,0.2974274809097608,-0.2974274809097608,5.551115123125783e-17,-0.29742748090976084,-0.29742748090976084,1.0
val,1,target_sequence_one_hot,1511,115,0.2,0.2,0.4000000000000001,0.0,1.0,0.2
val,1,experimental_epigenetic,1511,6,0.5340484268932729,0.2218416914257491,1.4129862917912845,-0.4757739097267971,31.75091696872155,1.0
val,1,computed_nucleosome_aggregates,1511,78,0.6745859162686102,0.05146506530797944,0.921402175989699,-10.288489808754461,12.178128752286067,0.9743589743589743
val,1,computed_nucleosome_missingness,1511,13,0.49011442944645606,-0.06734065059089847,0.8883039337170481,-0.29742748090976084,3.362164104477619,1.0
